date,open,high,low,close
09/05/2024,5520.08,5546.30,5480.54,5503.41
09/06/2024,5507.33,5522.47,5402.62,5408.42
09/09/2024,5442.07,5484.20,5434.49,5471.05
09/10/2024,5490.51,5497.91,5441.72,5495.52
09/11/2024,5496.42,5560.41,5406.96,5554.13
09/12/2024,5557.48,5600.71,5535.50,5595.76
09/13/2024,5603.34,5636.27,5601.65,5626.02
09/16/2024,5615.21,5636.05,5604.53,5633.09
09/17/2024,5655.51,5670.81,5614.05,5634.58
09/18/2024,5641.68,5689.75,5615.08,5618.26
09/19/2024,5702.63,5733.57,5686.42,5713.64
09/20/2024,5709.64,5715.14,5674.49,5702.55
09/23/2024,5711.90,5725.36,5704.22,5718.57
09/24/2024,5727.66,5735.32,5698.99,5732.93
09/25/2024,5733.65,5741.03,5712.06,5722.26
09/26/2024,5762.22,5767.37,5721.01,5745.37
09/27/2024,5755.36,5763.78,5727.34,5738.17
09/30/2024,5726.52,5765.14,5703.53,5762.48
10/01/2024,5757.73,5757.73,5681.28,5708.75
10/02/2024,5698.14,5719.63,5674.00,5709.54
10/03/2024,5698.19,5718.78,5677.37,5699.94
10/04/2024,5737.48,5753.21,5702.83,5751.07
10/07/2024,5737.80,5739.34,5686.85,5695.94
10/08/2024,5719.14,5757.60,5714.56,5751.13
10/09/2024,5751.80,5796.80,5745.02,5792.04
10/10/2024,5778.36,5795.03,5764.76,5780.05
10/11/2024,5775.09,5822.13,5775.09,5815.03
10/14/2024,5829.81,5871.41,5829.57,5859.85
10/15/2024,5866.74,5870.36,5804.48,5815.26
10/16/2024,5816.58,5846.52,5808.34,5842.47
10/17/2024,5875.62,5878.46,5840.25,5841.47
10/18/2024,5859.43,5872.17,5846.11,5864.67
10/21/2024,5857.82,5866.92,5824.79,5853.98
10/22/2024,5832.70,5863.04,5821.17,5851.20
10/23/2024,5834.50,5834.85,5762.41,5797.42
10/24/2024,5817.80,5817.80,5784.92,5809.86
10/25/2024,5826.75,5862.82,5799.98,5808.12
10/28/2024,5833.93,5842.92,5823.08,5823.52
10/29/2024,5819.68,5847.19,5802.17,5832.92
10/30/2024,5832.65,5850.94,5811.28,5813.67
10/31/2024,5775.34,5775.34,5702.86,5705.45
11/01/2024,5723.22,5772.52,5723.22,5728.80
11/04/2024,5725.15,5741.43,5696.51,5712.69
11/05/2024,5722.43,5783.44,5722.10,5782.76
11/06/2024,5864.89,5936.14,5864.89,5929.04
11/07/2024,5947.21,5983.84,5947.21,5973.10
11/08/2024,5976.76,6012.45,5976.76,5995.54
11/11/2024,6008.86,6017.31,5986.69,6001.35
11/12/2024,6003.60,6009.92,5960.08,5983.99
11/13/2024,5985.75,6008.19,5965.91,5985.38
11/14/2024,5989.68,5993.88,5942.28,5949.17
11/15/2024,5912.79,5915.32,5853.01,5870.62
11/18/2024,5874.17,5908.12,5865.95,5893.62
11/19/2024,5870.05,5923.51,5855.29,5916.98
11/20/2024,5914.34,5920.67,5860.56,5917.11
11/21/2024,5940.58,5963.32,5887.26,5948.71
11/22/2024,5944.36,5972.90,5944.36,5969.34
11/25/2024,5992.28,6020.75,5963.91,5987.37
11/26/2024,6000.03,6025.42,5992.27,6021.63
11/27/2024,6014.11,6020.16,5984.87,5998.74
11/29/2024,6003.98,6044.17,6003.98,6032.38
12/02/2024,6040.11,6053.58,6035.33,6047.15
12/03/2024,6042.97,6052.07,6033.39,6049.88
12/04/2024,6069.39,6089.84,6061.06,6086.49
12/05/2024,6089.03,6094.55,6072.90,6075.11
12/06/2024,6081.38,6099.97,6079.98,6090.27
12/09/2024,6083.01,6088.51,6048.63,6052.85
12/10/2024,6057.59,6065.40,6029.89,6034.91
12/11/2024,6060.15,6092.59,6060.15,6084.19
12/12/2024,6074.29,6079.68,6051.25,6051.25
12/13/2024,6068.17,6078.58,6035.77,6051.09
12/16/2024,6063.79,6085.19,6059.14,6074.08
12/17/2024,6052.55,6057.68,6035.19,6050.61
12/18/2024,6047.65,6070.67,5867.79,5872.16
12/19/2024,5912.71,5935.52,5866.07,5867.08
12/20/2024,5842.00,5982.06,5832.30,5930.85
12/23/2024,5940.25,5978.25,5902.57,5974.07
12/24/2024,5984.63,6040.10,5981.44,6040.04
12/26/2024,6024.97,6049.75,6007.37,6037.59
12/27/2024,6006.17,6006.17,5932.95,5970.84
12/30/2024,5920.67,5940.79,5869.16,5906.94
12/31/2024,5919.74,5929.74,5868.86,5881.63
01/02/2025,5903.26,5935.09,5829.53,5868.55
01/03/2025,5891.07,5949.34,5888.66,5942.47
01/06/2025,5982.81,6021.04,5960.01,5975.38
01/07/2025,5993.26,6000.68,5890.68,5909.03
01/08/2025,5910.66,5927.89,5874.78,5918.25
01/10/2025,5890.35,5890.35,5807.78,5827.04
01/13/2025,5782.02,5838.61,5773.31,5836.22
01/14/2025,5859.27,5871.92,5805.42,5842.91
01/15/2025,5905.21,5960.61,5905.21,5949.91
01/16/2025,5963.61,5964.69,5930.72,5937.34
01/17/2025,5995.40,6014.96,5978.44,5996.66
01/21/2025,6014.12,6051.51,6006.88,6049.24
01/22/2025,6081.39,6100.81,6076.13,6086.37
01/23/2025,6076.32,6118.73,6074.67,6118.71
01/24/2025,6121.43,6128.18,6088.74,6101.24
01/27/2025,5969.04,6017.17,5962.92,6012.28
01/28/2025,6026.97,6074.54,5994.63,6067.70
01/29/2025,6057.70,6062.83,6012.96,6039.31
01/30/2025,6050.75,6086.64,6027.46,6071.17
01/31/2025,6096.79,6120.91,6030.93,6040.53
02/03/2025,5969.65,6022.13,5923.93,5994.57
02/04/2025,5998.14,6042.48,5990.87,6037.88
02/05/2025,6020.45,6062.86,6007.06,6061.48
02/06/2025,6072.22,6084.03,6046.83,6083.57
02/07/2025,6083.13,6101.28,6019.96,6025.99
02/10/2025,6046.40,6073.38,6044.84,6066.44
02/11/2025,6049.32,6076.28,6042.34,6068.50
02/12/2025,6025.08,6063.00,6003.00,6051.97
02/13/2025,6060.59,6116.91,6050.95,6115.07
02/14/2025,6115.52,6127.47,6107.62,6114.63
02/18/2025,6121.60,6129.63,6099.51,6129.58
02/19/2025,6117.76,6147.43,6111.15,6144.15
02/20/2025,6134.50,6134.50,6084.59,6117.52
02/21/2025,6114.10,6114.82,6008.56,6013.13
02/24/2025,6026.69,6043.65,5977.83,5983.25
02/25/2025,5982.73,5992.65,5908.49,5955.25
02/26/2025,5970.87,6009.82,5932.69,5956.06
02/27/2025,5981.88,5993.69,5858.78,5861.57
02/28/2025,5856.74,5959.40,5837.66,5954.50
03/03/2025,5968.33,5986.09,5810.91,5849.72
03/04/2025,5811.98,5865.08,5732.59,5778.15
03/05/2025,5781.36,5860.59,5742.35,5842.63
03/06/2025,5785.87,5812.08,5711.64,5738.52
03/07/2025,5726.01,5783.01,5666.29,5770.20
03/10/2025,5705.37,5705.37,5564.02,5614.56
03/11/2025,5603.65,5636.30,5528.41,5572.07
03/12/2025,5624.84,5642.19,5546.09,5599.30
03/13/2025,5594.45,5597.78,5504.65,5521.52
03/14/2025,5563.85,5645.27,5563.85,5638.94
